pathway	gene1 gene2
Hepatitis C	TICAM1	TRAF3
Hepatitis C	EIF2AK1	IFIT1
Hepatitis C	EIF2AK1	EIF2S1
Hepatitis C	EGF	EGFR
Hepatitis C	SOS1	HRAS
Hepatitis C	HRAS	ARAF
Hepatitis C	ARAF	MAP2K1
Hepatitis C	PIK3CA	C05981
Hepatitis C	TNF	TNFRSF1A
Hepatitis C	TRADD	TRAF2
Hepatitis C	TRADD	FADD
Hepatitis C	CHUK	NFKBIA
Hepatitis C	FASLG	FAS
Hepatitis C	FAS	FADD
Hepatitis C	FADD	CASP8
Hepatitis C	CASP8	BID
Hepatitis C	BID	BAX
Hepatitis C	BID	BAK1
Hepatitis C	BAX	CYCS
Hepatitis C	BAK1	CYCS
Hepatitis C	CYCS	CASP9
Hepatitis C	CASP9	CASP3
Hepatitis C	CDK2	RB1
Hepatitis C	MAVS	CHUK
Hepatitis C	MAVS	CHUK
Hepatitis C	TRAF2	CHUK
Hepatitis C	TRAF2	CHUK
Hepatitis C	SOCS3	STAT1
